BSSID,Level,Room,Model,Time
ac:4e:91:61:1f:e0,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:93:a1,-110,420,Redmi 4X,2017/8/15 12:26
a8:58:40:59:ac:81,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:30:36:81,-110,420,Redmi 4X,2017/8/15 12:26
52:a5:89:79:19:ab,-110,420,Redmi 4X,2017/8/15 12:26
ac:4e:91:61:21:81,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:92:40,-110,420,Redmi 4X,2017/8/15 12:26
b0:75:d5:5f:d4:57,-58,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:93:80,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:89:81,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:93:a0,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:73:01,-110,420,Redmi 4X,2017/8/15 12:26
dc:fe:18:58:fd:3a,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:91:21,-66,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:30:45:c0,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:76:40,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:90:a1,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:7e:61,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:79:61,-78,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:30:42:20,-110,420,Redmi 4X,2017/8/15 12:26
38:46:08:c9:87:0c,-79,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:30:3d:c0,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:9e:a1,-110,420,Redmi 4X,2017/8/15 12:26
b0:75:d5:80:84:cd,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:9c:a1,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:73:21,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:30:3f:c0,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:8a:20,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:99:c0,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:99:01,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:71:e0,-76,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:8d:a1,-110,420,Redmi 4X,2017/8/15 12:26
9c:50:ee:3f:74:21,-110,420,Redmi 4X,2017/8/15 12:26
d4:b1:10:ac:62:41,-110,420,Redmi 4X,2017/8/15 12:26
a8:58:40:59:ab:e0,-110,420,Redmi 4X,2017/8/15 12:26
4c:e6:76:64:df:00,-110,420,Redmi 4X,2017/8/15 12:26
