Loc_x,Loc_y,Floor,Mag_x,Mag_y,Mag_z,
5.269896429,41.26426266,4,-2.242435028,23.64180934,-34.72326491,42.06743146
5.144908579,36.99027489,4,-2.432067437,23.46856384,-34.65478464,41.92424763
5.019920728,32.71628712,4,-2.621699845,23.29531834,-34.58630437,41.78226437
4.894932878,28.44229935,4,-2.811332254,23.12207284,-34.51782409,41.64149399
4.769945027,24.16831158,4,-3.000964663,22.94882734,-34.44934382,41.50194881
4.644957177,19.8943238,4,-3.190597071,22.77558184,-34.38086355,41.36364123
4.519969326,15.62033603,4,-3.316053065,22.60233634,-34.31238327,41.22137142
4.394981475,11.34634826,4,-3.330130002,22.42909084,-34.243903,41.07065588
4.269993625,7.072360491,4,-3.34420694,22.25584534,-34.17542273,40.92023815
4.100626868,1.280825985,4,1.011313342,0.604341341,-20.89212836,20.92531984
4.559570052,5.698960069,4,-3.311592976,22.65722685,-34.33408033,41.26918522
5.018513236,10.11709415,4,-2.623835303,23.29336742,-34.58553321,41.78067238
5.47745642,14.53522824,4,-1.927523613,23.92950798,-34.83698608,42.30782787
5.936399604,18.95336232,4,-1.231211924,24.56564854,-34.01007495,41.97227858
6.395342788,23.3714964,4,-0.534900235,25.2017891,-32.91914312,41.46186532
6.854285971,27.78963049,4,0.151705134,25.52641034,-31.82821128,40.80019207
7.313229155,32.20776457,4,-0.013293748,24.39797432,-31.04343938,39.48362264
7.941445146,38.25544668,4,-0.239149453,22.8533353,-30.69517671,38.26912593
7.006154519,34.57196974,4,0.097105477,25.15300041,-31.46721184,40.28483934
6.070863891,30.8884928,4,-1.027201801,24.75202932,-33.69044634,41.81822896
5.135573264,27.20501587,4,-2.446231039,23.45562417,-34.64966986,41.91360129
4.200282637,23.52153893,4,-3.352058241,22.15921902,-34.13722839,40.83647444
3.264992009,19.838062,4,-3.457396701,22.7083039,-33.62478692,40.72157848
2.329701382,16.15458506,4,-3.562735161,23.5302463,-32.60977067,40.37031974
0.99083628,10.88170135,4,-4.747413119,23.7860647,-30.32729207,38.83374112
3.293472585,10.12128923,4,-3.454189035,22.68327489,-33.6403913,40.72024446
5.59610889,9.360877107,4,-1.747503287,24.09397202,-34.81896368,42.37845546
9.768275876,7.983079695,4,-0.895930161,18.75430175,-29.68244068,35.12226943
5.252251374,7.550365019,4,-2.269206224,23.61735155,-34.71359727,42.04714528
4.878749314,10.44391513,4,-2.835886066,23.09964082,-34.50895719,41.62335621
4.505247253,13.33746523,4,-3.317711159,22.58193009,-34.30431712,41.20360356
4.131745192,16.23101534,4,-3.359777369,22.06421936,-34.09967704,40.75421272
3.758243132,19.12456545,4,-3.401843579,22.27483007,-33.89503696,40.70152485
3.384741071,22.01811556,4,-3.443909789,22.60306727,-33.69039689,40.71611483
3.01123901,24.91166567,4,-3.485975999,22.93130447,-33.48575681,40.7344162
2.637736949,27.80521577,4,-3.528042209,23.25954168,-33.13490542,40.63711749
2.264234889,30.69876588,4,-3.570108419,23.58777888,-32.4981643,40.31450942
1.890732828,33.59231599,4,-3.612174629,23.91601608,-31.86142318,40.00217392
1.517230767,36.4858661,4,-3.654240839,24.24425329,-31.22468207,39.70035344
1.143728707,39.3794162,4,-4.022792568,24.45549737,-30.58794095,39.36846889
0.647240648,43.2257486,4,-6.37585517,22.28164654,-29.91083195,37.83888436
6.738412804,39.81183977,4,-0.014392096,25.67731802,-32.10364783,41.10923341
4.305631872,36.76934437,4,-3.34019313,22.30524347,-34.19494876,40.96309677
3.725412555,33.63036514,4,-3.40554117,22.30368189,-33.87704924,40.70265841
