ID,BUILDING,FLOOR,LOC_X,LOC_Y,MAG_X,MAG_Y,MAG_Z,G
408,IBSS,5,50,7,0,35.661037,-35.975655,9.806559
409,IBSS,5,0,8,0,28.768223,-34.270622,9.806586
410,IBSS,5,1,8,0,29.959375,-31.756498,9.806634
411,IBSS,5,2,8,0.000001,30.144756,-30.313349,9.806607
412,IBSS,5,3,8,0.000001,27.551689,-30.11343,9.806582
413,IBSS,5,4,8,0,26.144505,-32.201153,9.806596
414,IBSS,5,5,8,0,25.444084,-35.167194,9.806633
415,IBSS,5,6,8,0,25.593506,-37.525928,9.806573
416,IBSS,5,7,8,0,26.625496,-40.401081,9.806612
417,IBSS,5,8,8,0,26.895769,-41.591766,9.806617
418,IBSS,5,9,8,0,28.98041,-44.408253,9.806645
419,IBSS,5,10,8,0,30.598455,-47.161671,9.806602
420,IBSS,5,11,8,0,29.541697,-48.561005,9.806564
421,IBSS,5,12,8,0,29.577055,-47.19936,9.806581
422,IBSS,5,13,8,0,30.550884,-44.301952,9.806596
423,IBSS,5,14,8,0,28.715919,-40.710163,9.80664
424,IBSS,5,15,8,0,25.604853,-38.200657,9.806587
425,IBSS,5,16,8,0,24.997879,-33.307762,9.806613
426,IBSS,5,17,8,0,25.970594,-29.291586,9.806581
427,IBSS,5,18,8,0,26.570919,-26.894361,9.806564
428,IBSS,5,19,8,0,27.650932,-25.025457,9.806582
429,IBSS,5,20,8,0,28.531868,-23.845587,9.806599
430,IBSS,5,21,8,0,30.896532,-24.282961,9.806594
431,IBSS,5,22,8,0,34.389111,-25.448524,9.806566
432,IBSS,5,23,8,0,36.935085,-26.560266,9.806581
433,IBSS,5,24,8,0,38.517544,-27.209766,9.806639
434,IBSS,5,25,8,0,39.883858,-26.791016,9.80657
435,IBSS,5,26,8,0,38.685383,-26.341808,9.806591
436,IBSS,5,27,8,-0.000001,35.822765,-24.90715,9.806626
437,IBSS,5,28,8,0,31.227638,-23.075754,9.806592
438,IBSS,5,29,8,0,31.058523,-22.797964,9.80661
439,IBSS,5,30,8,0,32.630329,-23.538864,9.806555
440,IBSS,5,31,8,0,32.484211,-25.860254,9.806601
